factura_id,fecha,cliente_id,provincia,canal,monto_total
10750,2024-12-31,10947,Santa Fe,Online,64300
10751,2024-12-31,12837,Santa Fe,Online,77500
10752,2024-12-31,11205,Buenos Aires,Online,120800
10739,2024-12-30,12698,Buenos Aires,Online,27800
10740,2024-12-30,11923,Santa Fe,Personal,99100
10741,2024-12-30,11772,Santa Fe,Online,94700
10742,2024-12-30,11801,Corrientes,Online,118500
10743,2024-12-30,11718,Santa Fe,Online,52300
10744,2024-12-30,11048,Santa Fe,Online,169900
10745,2024-12-30,11316,Buenos Aires,Online,11600
10746,2024-12-30,13319,Santa Fe,Personal,102600
10747,2024-12-30,12573,Santa Fe,Online,102900
10748,2024-12-30,11064,Santa Fe,Online,142900
10749,2024-12-30,12458,Santa Fe,Online,14800
10726,2024-12-29,11994,Buenos Aires,Online,29700
10727,2024-12-29,10370,Santa Fe,Online,117600
10728,2024-12-29,10424,Santa Fe,Online,85800
10729,2024-12-29,12490,Santa Fe,Online,66000
10730,2024-12-29,10246,Santa Fe,Online,82100
10731,2024-12-29,12386,Santa Fe,Online,73200
10732,2024-12-29,12195,Santa Fe,Online,74100
10733,2024-12-29,11943,Santa Fe,Online,52400
10734,2024-12-29,12329,Buenos Aires,Online,65400
10735,2024-12-29,12991,Santa Fe,Online,104700
10736,2024-12-29,12638,Santa Fe,Online,232300
10737,2024-12-29,13093,Santa Fe,Personal,28100
10738,2024-12-29,10419,Santa Fe,Online,99500
10717,2024-12-28,12260,Santa Fe,Online,80100
10718,2024-12-28,11890,Santa Fe,Online,47800
10719,2024-12-28,11316,Buenos Aires,Online,150300
10720,2024-12-28,10790,Buenos Aires,Online,58200
10721,2024-12-28,12228,Santa Fe,Online,71000
10722,2024-12-28,11735,Santa Fe,Online,121300
10723,2024-12-28,13054,Santa Fe,Online,149600
10724,2024-12-28,10498,Entre Rios,Online,98700
10725,2024-12-28,10978,Santa Fe,Online,86800
10705,2024-12-27,12689,Santa Fe,Online,15800
10706,2024-12-27,12108,Santa Fe,Personal,120300
10707,2024-12-27,11901,Santa Fe,Online,17300
10708,2024-12-27,13363,Santa Fe,Online,110000
10709,2024-12-27,10609,Santa Fe,Online,39400
