factura_id,cliente_id,cantidad,monto_pesos,producto_id,fecha
10750,10947,1,15700,16005,2024-12-31
10750,10947,3,48600,47008,2024-12-31
10751,12837,1,12100,34010,2024-12-31
10751,12837,2,49200,24003,2024-12-31
10751,12837,1,16200,47015,2024-12-31
10752,11205,1,19900,38012,2024-12-31
10752,11205,1,16200,47008,2024-12-31
10752,11205,2,31600,46013,2024-12-31
10752,11205,1,29800,15007,2024-12-31
10752,11205,1,23300,42003,2024-12-31
10739,12698,1,27800,6011,2024-12-30
10740,11923,1,22500,25012,2024-12-30
10740,11923,2,39000,13013,2024-12-30
10740,11923,2,21800,41005,2024-12-30
10740,11923,1,15800,2012,2024-12-30
10741,11772,2,17600,11007,2024-12-30
10741,11772,1,21000,26011,2024-12-30
10741,11772,1,14900,40006,2024-12-30
10741,11772,2,29600,1004,2024-12-30
10741,11772,2,11600,10004,2024-12-30
10742,11801,1,29800,15002,2024-12-30
10742,11801,1,17300,22006,2024-12-30
10742,11801,1,9700,3002,2024-12-30
10742,11801,2,34800,7009,2024-12-30
10742,11801,2,14800,29007,2024-12-30
10742,11801,1,12100,34005,2024-12-30
10743,11718,2,20600,23005,2024-12-30
10743,11718,2,13800,31011,2024-12-30
10743,11718,1,17900,27004,2024-12-30
10744,11048,3,83400,6011,2024-12-30
10744,11048,2,19400,3007,2024-12-30
10744,11048,1,7400,29002,2024-12-30
10744,11048,3,59700,38015,2024-12-30
10745,11316,2,11600,10003,2024-12-30
10746,13319,1,5800,10005,2024-12-30
10746,13319,1,17400,7008,2024-12-30
10746,13319,1,26500,33009,2024-12-30
10746,13319,2,36400,17002,2024-12-30
10746,13319,3,16500,36015,2024-12-30
10747,12573,1,21000,26012,2024-12-30
10747,12573,1,15700,16005,2024-12-30
10747,12573,1,14800,1005,2024-12-30
10747,12573,1,17400,7004,2024-12-30
10747,12573,1,15800,2002,2024-12-30
10747,12573,1,18200,17001,2024-12-30
10748,11064,1,15700,16006,2024-12-30
